Order_ID,Order_ID2,Order_ID3,Order_ID4,Order_ID5,Order_ID6,Order_ID7,Order_ID8,Order_ID9,Order_ID10,Order_ID11,Order_ID12,count
1000,Brian Thompson,Jeans,Slim Fit Jeans,,842,0.6,0,27/02/2025,Delhi,B2C,2137.45,1
1001,Shaun Ross,Jeans,Slim Fit Jeans,1,,,0,15/07/2025,Ahmedabad,,1588.15,3
1002,Sarah Snyder,Jackets,Puffer Coat,1,637.82,,0,02/01/2025,Mumbai,B2B,-158.03,1
1003,Jay Briggs,Shoes,Loafers,2,2962.27,,0,18/06/2025,bengaluru,B2B,2296.5,1
1004,Maria Blake,Accessories,Belts,1,2881.07,0.27,2103.18,,hyderbad,,63.66,2
1005,Samuel Miller,T-Shirts,Crop Top,,,,0,05/12/2023,Mumbai,B2B,1477.73,3
1006,John Mclean,Jeans,Boyfriend Jeans,1,2060.85,,0,02/04/2024,Ahmedabad,B2B,198.36,1
1007,Dr. Kathryn Bass PhD,Dresses,Casual Midi,,3669.56,,0,,Bangalore,B2C,2490.01,3
1008,Marie Fisher,Accessories,Sunglasses,,,,0,,Ahmedabad,B2C,-886.8,4
1009,Dale Perry,T-Shirts,Oversized T-shirt,5,,,0,20/07/2025,Bangalore,B2B,-972.73,2
1010,Oscar Turner,T-Shirts,Crop Top,0,4007.02,,0,,Pune,B2B,-950.38,2
1011,Jacob Sanchez,Accessories,Belts,0,,,0,27/05/2025,Delhi,B2C,1370.67,2
1012,Valerie Hampton,Jeans,Straight Cut,4,,0.21,0,22/08/2024,Ahmedabad,,843.61,2
1013,James Delgado,T-Shirts,Crop Top,,,0.62,0,,Pune,B2C,1279.58,3
1014,Richard Hood,Shoes,Loafers,4,,,0,21/09/2024,Hyd,,-889.25,3
1015,Julie Fox,Shoes,Sneakers,6,,,0,,Ahmedabad,,793.8,4
1016,Valerie Garner,T-Shirts,Crop Top,,,,0,26/10/2024,Hyderabad,B2B,1881.89,3
1017,Alejandro Johnson,T-Shirts,Oversized T-shirt,3,468.53,,0,,Mumbai,B2B,-195.65,2
1018,Andrew Washington,Dresses,Maxi Dress,4,,,0,13/04/2024,bengaluru,B2C,2102.56,2
1019,Mark Allison,Dresses,Casual Midi,,4064.4,0.7,0,22/10/2024,Ahmedabad,B2C,877.21,1
1020,Russell Eaton,Jeans,Boyfriend Jeans,1,,,0,19/03/2025,Pune,B2B,669.75,2
1021,Amber Bowman,Dresses,Wrap Dress,,,,0,05/05/2024,bengaluru,B2B,-705.72,3
1031,Lauren Jensen,Dresses,Wrap Dress,,1872.05,0.15,0,27/05/2025,Pune,B2C,-863.9,1
1023,David Arnold,Shoes,Slip-ons,,,,0,,Mumbai,,-875.51,5
1024,Thomas Long,Jackets,Puffer Coat,-2,,1.19,0,19/02/2025,Delhi,B2B,491.1,1
1025,Christine Reed,Jeans,Straight Cut,4,4595.08,,0,18/07/2025,Bangalore,,330.82,2
1026,Colton Baxter,Accessories,Sunglasses,,,,0,21/12/2024,Ahmedabad,B2B,-194.77,3
1027,Rebecca Dorsey,Accessories,Belts,1,,,0,,hyderbad,B2B,1085.36,3
1028,Felicia Orozco,T-Shirts,Classic Tee,-2,,,0,,hyderbad,B2B,2060.03,3
1029,Terry Anderson,T-Shirts,Classic Tee,4,,,0,,Mumbai,,1737.92,4
1030,Brandi Jones,Dresses,Maxi Dress,3,1069.77,,0,03/09/2023,Hyd,B2C,1155.38,1
1031,William Williams,Dresses,Wrap Dress,4,,,0,31/01/2025,Bangalore,B2B,-960.24,2
1032,Kim Harris,Jeans,Boyfriend Jeans,,2182.01,,0,25/01/2025,Delhi,,1377.61,3
1033,Jonathan Neal,Jeans,Straight Cut,,,,0,13/11/2024,Hyd,B2B,903.69,3
1034,Nathan Stewart,Jackets,Puffer Coat,0,4449.36,0.94,0,13/07/2025,Delhi,B2B,-282.68,0
1035,Joshua Thomas,Jackets,Bomber Jacket,-1,,0.94,0,,Ahmedabad,B2C,-199.18,2
1036,Connie Cunningham,T-Shirts,Graphic Tee,-2,2721.83,,0,06/04/2024,Ahmedabad,B2B,1213.95,1
1037,Amy Martin,Accessories,Sunglasses,2,,1.1,0,,Ahmedabad,B2B,907.77,2
1038,Courtney Riddle,T-Shirts,Crop Top,3,1692.38,,0,20/01/2024,bengaluru,B2C,1704.49,1
1039,Ashley Ramirez,Shoes,Boots,,1372.16,0.56,0,20/05/2025,Hyd,B2C,1626.51,1
1040,Angel Nelson,Jackets,Denim Jacket,,,,0,15/11/2024,Ahmedabad,B2C,693.6,3
1041,Teresa Chavez,Jackets,Puffer Coat,,,,0,07/03/2025,Ahmedabad,B2C,-983.06,3
1042,Richard Williams,Dresses,Bodycon,,,,0,12/04/2025,Pune,,283.39,4
1043,Deborah Walker,T-Shirts,Graphic Tee,,4575.93,0.56,0,05/04/2025,Ahmedabad,,442.14,2
1044,Elizabeth Williams,T-Shirts,Classic Tee,,,,0,12/09/2024,bengaluru,B2B,-80.23,3
1045,Connie Mills,Accessories,Sunglasses,,3477.16,,0,10/02/2025,Hyd,B2B,1323.75,2
1046,Charlotte Cook,Jeans,Slim Fit Jeans,-1,2441.92,0.92,-195.35,,Delhi,,1004.91,2
1047,Matthew Thompson,Jeans,Straight Cut,3,,,0,12/06/2025,Hyd,B2C,-395.76,2
1048,James Hughes,Jeans,Straight Cut,5,,0.41,0,16/10/2024,Delhi,,2409.26,2
1049,Kimberly Anderson,T-Shirts,Graphic Tee,,,,0,,Mumbai,B2C,19.87,4
1050,Matthew Schmidt,Jeans,Slim Fit Jeans,-1,1083.16,,0,08/07/2025,Pune,B2C,2904.29,1
1051,Eric Wilson,Jeans,Boyfriend Jeans,,,0.57,0,26/04/2025,Delhi,B2C,2857.9,2
1052,Zachary Ramos,Jeans,Ripped Denim,,3252.49,0.56,0,08/12/2023,Bangalore,,-11.15,2
1053,Debra Pollard,Dresses,Maxi Dress,,714.23,1.29,0,21/07/2025,Delhi,,1057.24,2
1054,Angela Martinez,T-Shirts,Classic Tee,,,,0,12/02/2025,Pune,,1002.96,4
1055,Brett Burch,Jeans,Boyfriend Jeans,0,,,0,02/03/2024,Pune,B2B,1374.9,2
1056,Jennifer English,Accessories,Sunglasses,6,,,0,11/07/2025,Mumbai,B2C,-343.36,2
1057,Penny Campbell,Jackets,Puffer Coat,4,,0.04,0,23/12/2024,Pune,,1725.76,2
1058,Karen Garcia,T-Shirts,Oversized T-shirt,,3982.53,1.08,0,14/08/2024,Pune,B2C,1912.49,1
1059,John Ramos,Jeans,Boyfriend Jeans,0,2927.57,0.19,0,,Delhi,,2218.42,2
1060,Dylan Roberson,Jeans,Ripped Denim,,2813.51,,0,14/07/2025,Pune,,94.96,3
1061,Kelsey Reyes,Accessories,Belts,,2291.15,0.33,0,05/11/2024,Mumbai,B2B,2536.3,1
1062,Larry Gibson,Jeans,Ripped Denim,-1,,,0,,Pune,B2C,328.72,3
1063,Kristin Ho,T-Shirts,Graphic Tee,1,,,0,28/06/2025,bengaluru,B2C,2147.75,2
1064,Jessica Johnston,Jackets,Denim Jacket,,,1.3,0,,bengaluru,,-901.74,4
1065,Amanda Parker,Jeans,Boyfriend Jeans,5,,,0,28/05/2024,bengaluru,,2316.97,3
1066,Joshua Figueroa,Shoes,Slip-ons,-2,3479.44,,0,15/01/2025,Delhi,,-252.78,2
1067,Julie Howard,Dresses,Casual Midi,,3945.25,,0,30/06/2025,bengaluru,B2B,305.55,2
